Year,cod_cpue
1970,103.72026677441758
1971,151.29207601163668
1972,65.06817176917707
1973,176.22153373691012
1974,56.262812847864886
1975,266.3335185420271
1976,108.86625575440523
1977,215.2166946741498
1978,307.3870750712618
1979,113.32611287039451
1980,179.1947718142363
1981,133.33829223701312
1982,80.73484933047277
1983,101.20444993975696
1984,209.72763976216302
1985,108.40883451173966
1986,147.51835075964573
1987,206.41133575283763
1988,54.776193809201786
1989,78.79080904914412
1990,57.29201064386241
1991,49.40149420788136
1992,59.80782747852303
1993,67.6983439145041
1994,46.65696675188795
1995,87.48181265978991
1996,42.082754325232266
1997,116.52806156905349
1998,85.08035113579568
1999,31.218999811925027
2000,36.136278170579885
2001,36.47934410257906
2002,33.27739540392009
2003,18.639915638621904
2004,23.214128065277585
2005,13.036505415968692
2006,18.296849706622726
2007,24.815102414607072
2008,22.070574958613665
2009,13.150860726635084
2010,22.413640890612843
2011,23.328483375943975
2012,17.496362531957985
2013,16.81023066795963
2014,18.868626259954688
2015,35.9075675492471
2016,22.184930269280056
2017,38.423384383907724
2018,20.58395591995057
2019,12.236018241303947
2020,14.751835075964573
